,index,city_s,reduce,reuse,recycle,other,year,total,reduce_rat,reuse_rat,recycle_rat,other_rat,total_ac,total_circ_ac_x,total_circ_ac_y,total_circ_ac_x.1,total_circ_ac_y.1,total_circ_ac,total_reduce_ac,reduce_ac_rat,total_reuse_ac,reuse_ac_rat,total_recycle_ac,recycle_ac_rat,total_other_ac,other_ac_rat,reduce_LQ,reuse_LQ,recycle_LQ,other_LQ,entropy,city,AP,AP_CO,AP_NO2,AP_O3,AP_PM10,AP_PM2.5,AP_SO2,第一产业占地区生产总值的比重-全市,第二产业占地区生产总值的比重-全市,第三产业占地区生产总值的比重-全市,第一产业产值-全市(万元),第三产业_社会服务业_全市,工业总产值_当年价格（万元）全市,规模以上工业总产值（万元）全市,规模以上内资企业工业总产值_当年价格（万元）全市,规模以上港澳台商投资企业工业总产值_当年价格（万元）全市,规模以上外商投资企业工业总产值_当年价格（万元）全市,规模以上工业企业主要财务指标_产品销售收入（万元）全市,规模以上工业企业主要财务指标_利税总额（万元）全市,规模以上工业企业主要财务指标_应交增值税（万元）全市,规模以上工业企业资产状况_固定资产合计（万元）全市,规模以上工业企业资产状况_流动资产合计（万元）全市,限额以上批发零售业商品销售总额（万元）全市,工业废水排放达标率（%）全市,工业企业数（个）全市,限额以上批发零售商贸企业中百货商场数（个）全市,限额以上批发零售商贸企业中超级市场数（个）全市,邮政业务收入（万元）全市,电信业务收入（万元）全市,内资企业（个）全市,港澳台商投资企业（个）全市,外商投资企业（个）全市,规模以上工业总产值_当年价格（万元）全市,工业废水排放量_万吨_全市,工业废水排放达标量_万吨_全市,工业二氧化硫去除量（吨）全市,工业二氧化硫排放量（吨）全市,工业烟粉尘去除量（吨）全市,工业烟粉尘排放量（吨）全市,一般工业固体废物综合利用率（%）全市,规模以上工业企业主要财务指标_利润总额（万元）全市,工业用电（万千瓦时）全市,规模以上工业企业主要财务指标_税金及附加（万元）全市,规模以上内资企业（个）全市,规模以上港澳台商投资企业（个）全市,规模以上外商投资企业（个）全市,中等职业教育学校（所）全市,工业二氧化硫产生量（吨）全市,工业氮氧化物排放量（吨）全市,工业烟粉尘产生量（吨）全市
0,0,七台河,2.0,4.0,2.0,44.0,2021,52.0,3.84615384615384,7.69230769230769,3.84615384615384,84.61538461538461,573876.0,70564.0,70564.0,32756.0,39467.0,431089.0,70564.0,0.1229603607748015,32756.0,0.0570785326446828,39467.0,0.0687726965407161,431089.0,0.7511884100397995,3.127962395294179,13.476708905943248,5.592559314402879,11.264202626728695,0.589280063598296,七台河市,57,18,29,76,49,66,46,12.31590909090909,49.08181818181818,38.60909090909091,120281.0,3475.0,1293417.8333333333,252720.0,1505504.05,4781.818181818182,2274.375,807891.1,41537.42857142857,113850.38095238095,1297870.0476190476,1273506.8260869565,222717.08695652173,75.71,83.63636363636364,2.0,0.0,5040.3,42474.7,90.75,1.2857142857142858,1.0,2076242.0714285714,1449.0588235294117,1223.0,3558.125,21291.944444444445,913192.8181818182,17766.470588235294,80.58764705882353,70978.5625,172215.0,29611.363636363636,92.66666666666667,,1.125,2.909090909090909,20782.75,12658.875,922154.5
1,0,七台河,3.0,4.0,3.0,48.0,2022,58.0,5.1724137931034395,6.89655172413793,5.1724137931034395,82.75862068965517,741819.0,85393.0,85393.0,35472.0,45450.0,575504.0,85393.0,0.115112985782246,35472.0,0.0478175943188297,45450.0,0.0612683147775939,575504.0,0.7758011051213302,4.493336488454799,14.42262376930615,8.442232843974052,10.667504872490774,0.647434395028023,七台河市,13,17,4,20,19,14,54,12.31590909090909,49.08181818181818,38.60909090909091,120281.0,3475.0,1293417.8333333333,252720.0,1505504.05,4781.818181818182,2274.375,807891.1,41537.42857142857,113850.38095238095,1297870.0476190476,1273506.8260869565,222717.08695652173,75.71,83.63636363636364,2.0,0.0,5040.3,42474.7,90.75,1.2857142857142858,1.0,2076242.0714285714,1449.0588235294117,1223.0,3558.125,21291.944444444445,913192.8181818182,17766.470588235294,80.58764705882353,70978.5625,172215.0,29611.363636363636,92.66666666666667,,1.125,2.909090909090909,20782.75,12658.875,922154.5
2,0,七台河,3.0,4.0,3.0,49.0,2023,59.0,5.08474576271186,6.77966101694915,5.08474576271186,83.05084745762711,869679.0,100034.0,100034.0,40935.0,50598.0,678112.0,100034.0,0.1150240491031748,40935.0,0.0470690910094414,50598.0,0.0581800871355983,678112.0,0.7797267727517855,4.420593608342655,14.403637018588793,8.739666805347033,10.65127559549185,0.6396383628225174,七台河市,59,18,33,17,78,21,32,12.31590909090909,49.08181818181818,38.60909090909091,120281.0,3475.0,1293417.8333333333,252720.0,1505504.05,4781.818181818182,2274.375,807891.1,41537.42857142857,113850.38095238095,1297870.0476190476,1273506.8260869565,222717.08695652173,75.71,83.63636363636364,2.0,0.0,5040.3,42474.7,90.75,1.2857142857142858,1.0,2076242.0714285714,1449.0588235294117,1223.0,3558.125,21291.944444444445,913192.8181818182,17766.470588235294,80.58764705882353,70978.5625,172215.0,29611.363636363636,92.66666666666667,,1.125,2.909090909090909,20782.75,12658.875,922154.5
3,2,三亚,158.0,72.0,18.0,326.0,2021,574.0,27.52613240418118,12.543554006968641,3.1358885017421603,56.79442508710801,573876.0,70564.0,70564.0,32756.0,39467.0,431089.0,70564.0,0.1229603607748015,32756.0,0.0570785326446828,39467.0,0.0687726965407161,431089.0,0.7511884100397995,22.3861838325235,21.975957379726268,4.559787036830222,7.560609872042479,1.045372926362956,三亚市,50,0,23,37,51,50,53,21.43952380952381,23.03761904761905,55.525238095238095,139927.0,28325.0,189007.0,70225.0,255338.75,5940.923076923077,21525.45,116244.7,7817.142857142857,15637.333333333334,286007.95,274978.0,1893645.4347826086,48.455000000000005,27.727272727272727,2.0,1.0,7427.2,89056.35,20.625,2.4,3.0,378254.78571428574,113.70588235294117,119.375,0.0,310.9375,38.5,823.7058823529412,92.28538461538461,26248.0625,36380.916666666664,3381.090909090909,20.22222222222222,1.8,3.2222222222222223,3.5,95.0,364.25,47512.25
4,2,三亚,268.0,74.0,24.0,405.0,2022,771.0,34.760051880674446,9.59792477302205,3.11284046692607,52.52918287937744,741819.0,85393.0,85393.0,35472.0,45450.0,575504.0,85393.0,0.115112985782246,35472.0,0.0478175943188297,45450.0,0.0612683147775939,575504.0,0.7758011051213302,30.196464494829833,20.07195240527301,5.0806693120673945,6.770960047957423,1.0384369056249154,三亚市,0,1,0,43,0,0,27,21.43952380952381,23.03761904761905,55.525238095238095,139927.0,28325.0,189007.0,70225.0,255338.75,5940.923076923077,21525.45,116244.7,7817.142857142857,15637.333333333334,286007.95,274978.0,1893645.4347826086,48.455000000000005,27.727272727272727,2.0,1.0,7427.2,89056.35,20.625,2.4,3.0,378254.78571428574,113.70588235294117,119.375,0.0,310.9375,38.5,823.7058823529412,92.28538461538461,26248.0625,36380.916666666664,3381.090909090909,20.22222222222222,1.8,3.2222222222222223,3.5,95.0,364.25,47512.25
5,2,三亚,324.0,83.0,41.0,542.0,2023,990.0,32.72727272727272,8.383838383838379,4.14141414141414,54.74747474747475,869679.0,100034.0,100034.0,40935.0,50598.0,678112.0,100034.0,0.1150240491031748,40935.0,0.0470690910094414,50598.0,0.0581800871355983,678112.0,0.7797267727517855,28.45254795187818,17.811770323239728,7.1182673407860175,7.021366542829073,1.0350632289074264,三亚市,15,0,0,31,10,16,29,21.43952380952381,23.03761904761905,55.525238095238095,139927.0,28325.0,189007.0,70225.0,255338.75,5940.923076923077,21525.45,116244.7,7817.142857142857,15637.333333333334,286007.95,274978.0,1893645.4347826086,48.455000000000005,27.727272727272727,2.0,1.0,7427.2,89056.35,20.625,2.4,3.0,378254.78571428574,113.70588235294117,119.375,0.0,310.9375,38.5,823.7058823529412,92.28538461538461,26248.0625,36380.916666666664,3381.090909090909,20.22222222222222,1.8,3.2222222222222223,3.5,95.0,364.25,47512.25
6,3,三明,19.0,16.0,50.0,132.0,2021,217.0,8.75576036866359,7.37327188940092,23.04147465437788,60.82949308755761,573876.0,70564.0,70564.0,32756.0,39467.0,431089.0,70564.0,0.1229603607748015,32756.0,0.0570785326446828,39467.0,0.0687726965407161,431089.0,0.7511884100397995,7.120799185600574,12.91776706191795,33.50381156093891,8.097767786957034,1.046087380209551,三明市,57,29,91,62,49,56,11,19.106818181818184,46.679545454545455,34.22,1011050.0,7650.0,4967426.916666667,1518291.0,10577310.1,519176.95,202371.7,3472651.3,418090.28571428574,348338.7619047619,3649069.380952381,4134699.1739130435,4726960.608695652,88.11333333333333,925.5454545454545,10.0,2.0,32879.15,149129.7,975.125,87.5,24.0,15647249.92857143,12743.29411764706,15594.125,9376.25,53754.5,1518041.0909090908,29068.58823529412,74.53647058823529,818648.0,519756.6666666667,138928.54545454544,1631.6666666666667,60.333333333333336,19.666666666666668,14.909090909090908,59699.5,29603.75,2896785.0
7,3,三明,24.0,17.0,51.0,167.0,2022,259.0,9.26640926640926,6.56370656370656,19.69111969111969,64.47876447876449,741819.0,85393.0,85393.0,35472.0,45450.0,575504.0,85393.0,0.115112985782246,35472.0,0.0478175943188297,45450.0,0.0612683147775939,575504.0,0.7758011051213302,8.04983834225107,13.726551193567431,32.13915669559234,8.311249372180313,1.0021331091132633,三明市,77,18,2,192,10,79,4,19.106818181818184,46.679545454545455,34.22,1011050.0,7650.0,4967426.916666667,1518291.0,10577310.1,519176.95,202371.7,3472651.3,418090.28571428574,348338.7619047619,3649069.380952381,4134699.1739130435,4726960.608695652,88.11333333333333,925.5454545454545,10.0,2.0,32879.15,149129.7,975.125,87.5,24.0,15647249.92857143,12743.29411764706,15594.125,9376.25,53754.5,1518041.0909090908,29068.58823529412,74.53647058823529,818648.0,519756.6666666667,138928.54545454544,1631.6666666666667,60.333333333333336,19.666666666666668,14.909090909090908,59699.5,29603.75,2896785.0
8,3,三明,34.0,20.0,52.0,205.0,2023,311.0,10.93247588424437,6.43086816720257,16.72025723472668,65.91639871382637,869679.0,100034.0,100034.0,40935.0,50598.0,678112.0,100034.0,0.1150240491031748,40935.0,0.0470690910094414,50598.0,0.0581800871355983,678112.0,0.7797267727517855,9.504513160059343,13.662613892230526,28.738797169136863,8.453781634455929,0.9922282099360276,三明市,5,22,10,53,3,5,10,19.106818181818184,46.679545454545455,34.22,1011050.0,7650.0,4967426.916666667,1518291.0,10577310.1,519176.95,202371.7,3472651.3,418090.28571428574,348338.7619047619,3649069.380952381,4134699.1739130435,4726960.608695652,88.11333333333333,925.5454545454545,10.0,2.0,32879.15,149129.7,975.125,87.5,24.0,15647249.92857143,12743.29411764706,15594.125,9376.25,53754.5,1518041.0909090908,29068.58823529412,74.53647058823529,818648.0,519756.6666666667,138928.54545454544,1631.6666666666667,60.333333333333336,19.666666666666668,14.909090909090908,59699.5,29603.75,2896785.0
9,4,三门峡,24.0,12.0,44.0,118.0,2021,198.0,12.12121212121212,6.06060606060606,22.22222222222222,59.59595959595959,573876.0,70564.0,70564.0,32756.0,39467.0,431089.0,70564.0,0.1229603607748015,32756.0,0.0570785326446828,39467.0,0.0687726965407161,431089.0,0.7511884100397995,9.857820882139233,10.61801307740983,32.31256492766108,7.933556854638116,1.0683816705674714,三门峡市,133,0,16,105,149,13,1,9.634090909090908,58.809090909090905,31.55818181818182,359458.0,9100.0,6930599.25,1326587.0,12828461.25,297710.7,728247.25,4590939.2,274074.0,282591.95,5590008.904761905,5561323.652173913,2109234.1304347827,76.10166666666667,476.54545454545456,66.0,31.0,19771.05,160229.95,517.625,6.875,10.25,19339333.0,3925.0,2628.5,224644.625,122667.11111111111,2322800.727272727,35281.94117647059,36.470588235294116,1604636.0,372498.25,134314.3,552.2222222222222,5.111111111111111,6.555555555555555,20.363636363636363,174636.0,29638.375,2427614.5
